Story ID,Rate Card Type,User Story,UI Behavior,Backend/System Behavior,Acceptance Criteria,Notes
DP-012,PRC,"As a user, I want platform-rate exceptions and disregarded PRCs to be handled automatically so that unusual customer or commission arrangements do not produce incorrect platform pricing.","The UI does not display discarded or disregarded PRC versions, commission exceptions, or backend PRC processing results after the MRC is approved.","The system identifies missing commission information, unsupported customer arrangements, calculation differences, and other special cases. It stops or excludes affected PRCs from processing and records the reason in the backend.","Disregarded PRCs are not created, sent to Panorama, or presented as available rate-card versions. The backend records the affected customer or platform, source MRC, reason for being disregarded, and processing status.",
DP-013,TLPC,"As a user, I want to start a TLPC update from the applicable customer contract rate card so that the temporary change is based on the correct contract pricing.","The UI allows the user to select the applicable customer, contract, product, and base rate template.",The system retrieves the customer's official pre-TLPC contract pricing from the applicable template or Panorama data.,"The TLPC update is linked to the correct customer, contract, base pricing template, and effective period.",
DP-014,TLPC,"As a user, I want to apply a TLPC increase to a selected group of products, weights, zones, tiers, or geographies so that I can make targeted changes without editing every cell.","The UI supports selecting or describing a specific range, such as selected products, weights, zones, or tiers.",The system applies the requested adjustment only to the selected rate-card rows.,Rows outside the requested scope remain unchanged.,
DP-015,TLPC,"As a user, I want to apply a percentage or fixed adjustment to a group of TLPC rates so that I can process negotiated changes efficiently.","The UI allows the user to specify an adjustment type, such as a percentage or fixed amount, and the affected range.",The system calculates the adjusted values for the selected rows and creates a preview.,"The preview clearly shows the original value, adjustment, and resulting value for each affected group.",
DP-016,TLPC,"As a user, I want a TLPC to have a defined start and end date so that the temporary pricing automatically applies only during the approved period.",The UI requires an effective start date and may require an end date for the TLPC.,The system stores the TLPC period and associates it with the applicable contract and rate-card version.,"The TLPC is active only during the approved period. The system applies the appropriate contract pricing after the TLPC period ends, according to the applicable contract rules.",
DP-017,TLPC,"As a user, I want to review a complete TLPC change preview before approval so that I can confirm that the negotiated adjustment was applied correctly.",The UI displays affected rows and final TLPC value.,The system creates a reviewable calculation result before updating the rate card.,"The user can approve, reject, or revise the TLPC change before it is published.",
DP-018,TLPC,"As a user, I want approved TLPC rates to be sent to Panorama so that Panorama and related pricing systems use the approved temporary rates.",The UI allows the user to approve the TLPC update but does not display post-approval publication status or transmission results.,The system creates an approved TLPC output and makes it available for transmission to Panorama.,"The approved TLPC rate card is sent to Panorama with the customer, contract, effective period, and version information. The system records whether Panorama accepted or rejected the update in the backend.",
DP-019,All Rate Card Types,"As a user, I want the system to clearly identify whether I am working with an MRC or TLPC so that I understand the rules and workflow that apply.","The UI displays the rate-card type, workflow status, effective dates, and available actions.",The system applies the correct processing rules based on the rate-card type.,The user cannot accidentally process an MRC or TLPC using the wrong workflow.,
DP-020,All Rate Card Types,"As a user, I want rate-card updates to be protected from conflicting edits so that another user does not overwrite my work.",The UI shows when a rate card is being reviewed or locked and informs the user when another person has an active edit session.,The system temporarily locks the working rate card or detects conflicting versions before saving changes.,Conflicting changes are prevented or presented to the user for resolution.,
DP-021,All Rate Card Types,"As a user, I want to approve a rate-card update and understand that it will be processed by Panorama so that I know when my user-facing work is complete.","The UI displays the rate-card type, effective date, and approval confirmation before the user submits the update. After approval, the UI does not display downstream processing statuses, commission recalculation results, or Panorama transmission results.","The backend updates the rate-card status and continues the integration process through outbound processing and Panorama. Any downstream status, commission recalculation, exception, or transmission result is maintained in the backend.","The user must provide the required effective date and confirm approval. After approval, the backend continues processing without requiring additional UI action. Downstream processing results are recorded in the backend.",
